,PassengerId,Survived,Pclass,Sex,Age,Fare
0,1,0,3,male,22.0,7.25
1,2,1,1,female,38.0,71.2833
2,3,1,3,female,26.0,7.925
3,4,1,1,female,35.0,53.1
4,5,0,3,male,35.0,8.05
6,7,0,1,male,54.0,51.8625
8,9,1,3,female,27.0,11.1333
11,12,1,1,female,58.0,26.55
12,13,0,3,male,20.0,8.05
13,14,0,3,male,39.0,31.275
15,16,1,2,female,55.0,16.0
18,19,0,3,female,31.0,18.0
20,21,0,2,male,35.0,26.0
21,22,1,2,male,34.0,13.0
23,24,1,1,male,28.0,35.5
25,26,1,3,female,38.0,31.3875
27,28,0,1,male,19.0,263.0
30,31,0,1,male,40.0,27.7208
33,34,0,2,male,66.0,10.5
34,35,0,1,male,28.0,82.1708
35,36,0,1,male,42.0,52.0
37,38,0,3,male,21.0,8.05
38,39,0,3,female,18.0,18.0
40,41,0,3,female,40.0,9.475
41,42,0,2,female,27.0,21.0
44,45,1,3,female,19.0,7.8792
49,50,0,3,female,18.0,17.8
51,52,0,3,male,21.0,7.8
52,53,1,1,female,49.0,76.7292
53,54,1,2,female,29.0,26.0
54,55,0,1,male,65.0,61.9792
56,57,1,2,female,21.0,10.5
57,58,0,3,male,28.5,7.2292
60,61,0,3,male,22.0,7.2292
61,62,1,1,female,38.0,80.0
62,63,0,1,male,45.0,83.475
66,67,1,2,female,29.0,10.5
67,68,0,3,male,19.0,8.1583
69,70,0,3,male,26.0,8.6625
70,71,0,2,male,32.0,10.5
72,73,0,2,male,21.0,73.5
73,74,0,3,male,26.0,14.4542
74,75,1,3,male,32.0,56.4958
75,76,0,3,male,25.0,7.65
79,80,1,3,female,30.0,12.475
80,81,0,3,male,22.0,9.0
81,82,1,3,male,29.0,9.5
83,84,0,1,male,28.0,47.1
85,86,1,3,female,33.0,15.85
88,89,1,1,female,23.0,263.0
89,90,0,3,male,24.0,8.05
90,91,0,3,male,29.0,8.05
91,92,0,3,male,20.0,7.8542
92,93,0,1,male,46.0,61.175
93,94,0,3,male,26.0,20.575
94,95,0,3,male,59.0,7.25
96,97,0,1,male,71.0,34.6542
97,98,1,1,male,23.0,63.3583
98,99,1,2,female,34.0,23.0
