,Survived,Pclass,Sex,Age,Fare
0,0,3,1,22.0,7.25
1,1,1,0,38.0,71.2833
2,1,3,0,26.0,7.925
3,1,1,0,35.0,53.1
4,0,3,1,35.0,8.05
6,0,1,1,54.0,51.8625
8,1,3,0,27.0,11.1333
11,1,1,0,58.0,26.55
12,0,3,1,20.0,8.05
13,0,3,1,39.0,31.275
15,1,2,0,55.0,16.0
18,0,3,0,31.0,18.0
20,0,2,1,35.0,26.0
21,1,2,1,34.0,13.0
23,1,1,1,28.0,35.5
25,1,3,0,38.0,31.3875
27,0,1,1,19.0,263.0
30,0,1,1,40.0,27.7208
33,0,2,1,66.0,10.5
34,0,1,1,28.0,82.1708
35,0,1,1,42.0,52.0
37,0,3,1,21.0,8.05
38,0,3,0,18.0,18.0
40,0,3,0,40.0,9.475
41,0,2,0,27.0,21.0
44,1,3,0,19.0,7.8792
49,0,3,0,18.0,17.8
51,0,3,1,21.0,7.8
52,1,1,0,49.0,76.7292
53,1,2,0,29.0,26.0
54,0,1,1,65.0,61.9792
56,1,2,0,21.0,10.5
57,0,3,1,28.5,7.2292
60,0,3,1,22.0,7.2292
61,1,1,0,38.0,80.0
62,0,1,1,45.0,83.475
66,1,2,0,29.0,10.5
67,0,3,1,19.0,8.1583
69,0,3,1,26.0,8.6625
70,0,2,1,32.0,10.5
72,0,2,1,21.0,73.5
73,0,3,1,26.0,14.4542
74,1,3,1,32.0,56.4958
75,0,3,1,25.0,7.65
79,1,3,0,30.0,12.475
80,0,3,1,22.0,9.0
81,1,3,1,29.0,9.5
83,0,1,1,28.0,47.1
85,1,3,0,33.0,15.85
88,1,1,0,23.0,263.0
89,0,3,1,24.0,8.05
90,0,3,1,29.0,8.05
91,0,3,1,20.0,7.8542
92,0,1,1,46.0,61.175
93,0,3,1,26.0,20.575
94,0,3,1,59.0,7.25
96,0,1,1,71.0,34.6542
97,1,1,1,23.0,63.3583
98,1,2,0,34.0,23.0
99,0,2,1,34.0,26.0
100,0,3,0,28.0,7.8958
102,0,1,1,21.0,77.2875
103,0,3,1,33.0,8.6542
104,0,3,1,37.0,7.925
105,0,3,1,28.0,7.8958
106,1,3,0,21.0,7.65
108,0,3,1,38.0,7.8958
110,0,1,1,47.0,52.0
112,0,3,1,22.0,8.05
113,0,3,0,20.0,9.825
115,0,3,1,21.0,7.925
116,0,3,1,70.5,7.75
117,0,2,1,29.0,21.0
118,0,1,1,24.0,247.5208
120,0,2,1,21.0,73.5
122,0,2,1,32.5,30.0708
123,1,2,0,32.5,13.0
124,0,1,1,54.0,77.2875
